70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),GG,G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent,texp(s),gamma*(%),G*(Pa),G'(Pa),"G""(Pa)",Loss tangent
100.1,0.507807,556.5,551.7,72.66,0.131702012,100.1,0.499418,180,171.7,54.13,0.315259173,100.1,0.499638,95.95,86.66,41.17,0.475075006,100.1,0.499169,44.72,40.11,19.78,0.493143854,100.1,0.498427,38.81,37.54,9.816,0.261481087,100.1,0.499214,23.91,23.17,5.893,0.254337505
102.1,10.3848,591,514,291.6,0.567315175,102.1,10.578,184.1,158.1,94.46,0.597469956,102.1,8.85691,119,100,64.41,0.6441,102.1,11.3709,53.11,43.22,30.86,0.714021286,102.1,12.8021,37.76,31.94,20.14,0.630557295,102.1,15.0188,21.89,18.22,12.13,0.665751921
104.1,162.065,216.3,118.1,181.3,1.535139712,104.1,149.818,71.59,44.05,56.44,1.281271283,104.1,96.3077,63.58,50.14,39.09,0.779617072,104.1,84.4869,34.67,28.27,20.08,0.710293597,104.1,106.933,19.05,13.17,13.76,1.044798785,104.1,105.2,10.29,7.033,7.516,1.068676241
106.1,205.179,223.1,130.5,180.9,1.386206897,106.1,215.694,68.81,42.67,53.98,1.265057417,106.1,208.141,49.2,36.14,33.38,0.923630327,106.1,192.818,26.73,19.96,17.77,0.890280561,106.1,202.58,15.68,9.62,12.39,1.287941788,106.1,197.051,8.239,5.042,6.516,1.292344308
108.1,222.523,247.2,165.6,183.5,1.108091787,108.1,254.421,70.84,48.12,51.99,1.08042394,108.1,266.391,46.85,34.81,31.35,0.900603275,108.1,259.323,25.05,18.96,16.36,0.862869198,108.1,258.404,14.87,9.223,11.67,1.265314973,108.1,254.632,7.7,4.783,6.035,1.261760401
110.1,230.457,254.9,178.8,181.7,1.016219239,110.1,239.433,75.64,53.41,53.56,1.002808463,110.1,259.244,46.53,34.5,31.21,0.904637681,110.1,260.906,24.4,18.42,16,0.868621064,110.1,252.713,15,9.303,11.77,1.265183274,110.1,251.147,7.835,4.922,6.097,1.238724096
112.1,247.625,253,177,180.9,1.022033898,112.1,243.307,77.72,55.83,54.06,0.968296615,112.1,249.058,47.19,34.88,31.78,0.911123853,112.1,250.492,24.57,18.42,16.26,0.882736156,112.1,247.706,15.25,9.51,11.92,1.253417455,112.1,247.067,8.013,5.079,6.197,1.220122071
114.1,246.653,257.2,182.5,181.2,0.992876712,114.1,244.913,79.53,57.92,54.51,0.941125691,114.1,250.066,47.11,34.91,31.63,0.906044113,114.1,250.453,24.51,18.35,16.24,0.885013624,114.1,248.369,15.38,9.623,12,1.247012366,114.1,248.193,8.104,5.167,6.243,1.208244629
116.1,248.457,258.5,185.2,180.4,0.974082073,116.1,245.793,81.02,59.71,54.77,0.917266789,116.1,249.944,47.12,34.97,31.58,0.903059766,116.1,250.377,24.46,18.31,16.22,0.885854724,116.1,248.57,15.5,9.725,12.07,1.241131105,116.1,248.689,8.183,5.241,6.284,1.199007823
118.1,247.895,260.4,188.4,179.7,0.953821656,118.1,246.319,82.28,61.18,55.02,0.899313501,118.1,249.974,47.13,35.03,31.53,0.900085641,118.1,250.244,24.43,18.28,16.21,0.886761488,118.1,248.68,15.61,9.82,12.14,1.236252546,118.1,248.755,8.258,5.313,6.321,1.18972332
120.1,249.067,260.8,189.6,179.2,0.945147679,120.1,246.815,83.38,62.5,55.19,0.88304,120.1,249.941,47.14,35.07,31.49,0.897918449,120.1,250.192,24.41,18.26,16.2,0.887185104,120.1,248.724,15.72,9.915,12.2,1.230458901,120.1,248.738,8.334,5.387,6.359,1.180434379
122.1,249.731,261.8,191.3,178.7,0.934134867,122.1,247.558,84.29,63.56,55.36,0.870988043,122.1,249.923,47.15,35.12,31.46,0.895785877,122.1,250.225,24.38,18.23,16.19,0.888096544,122.1,248.894,15.82,10,12.25,1.225,122.1,248.864,8.402,5.453,6.392,1.17219879
124.1,249.474,262.9,193.2,178.2,0.922360248,124.1,247.905,85.1,64.5,55.51,0.860620155,124.1,250.001,47.14,35.14,31.42,0.894137735,124.1,250.191,24.35,18.2,16.18,0.889010989,124.1,249.082,15.9,10.07,12.3,1.221449851,124.1,249.001,8.462,5.514,6.418,1.163946318
126.1,249.201,263.7,194.7,177.9,0.913713405,126.1,247.948,85.88,65.38,55.69,0.851789538,126.1,250.023,47.14,35.17,31.39,0.892522036,126.1,250.103,24.34,18.18,16.18,0.889988999,126.1,249.194,15.97,10.14,12.34,1.216962525,126.1,249.111,8.516,5.569,6.442,1.156760639
128.1,249.25,264.5,195.9,177.8,0.907605921,128.1,247.972,86.6,66.19,55.84,0.843631969,128.1,249.948,47.15,35.2,31.37,0.891193182,128.1,250.086,24.33,18.17,16.18,0.890478811,128.1,249.218,16.04,10.2,12.38,1.21372549,128.1,249.14,8.569,5.622,6.468,1.150480256
130.1,249.032,265.6,197.2,177.9,0.902129817,130.1,248.249,87.2,66.88,55.95,0.836572967,130.1,249.925,47.17,35.24,31.35,0.889614075,130.1,250.125,24.31,18.16,16.17,0.890418502,130.1,249.236,16.1,10.26,12.41,1.209551657,130.1,249.236,8.614,5.667,6.487,1.144697371
132.1,249.113,266.7,198.6,178.1,0.896777442,132.1,248.483,87.73,67.5,56.04,0.830222222,132.1,249.917,47.18,35.27,31.34,0.888573859,132.1,250.138,24.3,18.14,16.16,0.890848953,132.1,249.307,16.16,10.31,12.44,1.206595538,132.1,249.297,8.654,5.709,6.504,1.13925381
134.1,249.391,267.5,199.7,178,0.891337006,134.1,248.763,88.18,68.03,56.1,0.82463619,134.1,249.922,47.2,35.3,31.33,0.887535411,134.1,250.117,24.28,18.13,16.15,0.890788748,134.1,249.325,16.22,10.37,12.47,1.202507232,134.1,249.346,8.692,5.749,6.52,1.13411028
136.1,249.54,268,200.4,177.9,0.887724551,136.1,248.857,88.61,68.54,56.17,0.819521447,136.1,249.902,47.22,35.34,31.32,0.886247878,136.1,250.213,24.26,18.12,16.14,0.890728477,136.1,249.273,16.28,10.43,12.5,1.198465964,136.1,249.359,8.731,5.787,6.537,1.129600829
138.1,249.404,268.7,201.3,178,0.88425236,138.1,248.893,89.02,69.02,56.23,0.814691394,138.1,249.908,47.24,35.37,31.31,0.885213458,138.1,250.235,24.24,18.1,16.12,0.890607735,138.1,249.206,16.34,10.49,12.53,1.194470925,138.1,249.351,8.769,5.825,6.554,1.125150215
140.1,249.365,269.5,202.2,178.1,0.880811078,140.1,248.944,89.43,69.49,56.29,0.810044611,140.1,249.881,47.26,35.41,31.3,0.883931093,140.1,250.228,24.21,18.08,16.11,0.891039823,140.1,249.258,16.4,10.55,12.56,1.190521327,140.1,249.457,8.8,5.857,6.568,1.121393205
142.1,249.498,270,203,178.1,0.877339901,142.1,249.007,89.83,69.96,56.35,0.805460263,142.1,249.885,47.28,35.44,31.3,0.883182844,142.1,250.181,24.2,18.07,16.1,0.890979524,142.1,249.373,16.46,10.6,12.58,1.186792453,142.1,249.533,8.828,5.886,6.58,1.117906898
144.1,249.677,270.4,203.5,178,0.874692875,144.1,249.088,90.19,70.39,56.39,0.801108112,144.1,249.886,47.3,35.46,31.3,0.882684715,144.1,250.098,24.19,18.06,16.09,0.890919158,144.1,249.456,16.5,10.65,12.61,1.184037559,144.1,249.532,8.857,5.915,6.592,1.114454776
146.1,249.742,270.6,203.9,177.9,0.872486513,146.1,249.04,90.57,70.84,56.43,0.796583851,146.1,249.893,47.32,35.5,31.29,0.881408451,146.1,250.029,24.19,18.06,16.09,0.890919158,146.1,249.464,16.55,10.7,12.63,1.180373832,146.1,249.484,8.889,5.946,6.608,1.111335351
148.1,249.776,270.9,204.3,177.8,0.870288791,148.1,249.035,90.93,71.26,56.48,0.792590514,148.1,249.902,47.34,35.53,31.29,0.880664227,148.1,250.032,24.18,18.05,16.09,0.891412742,148.1,249.437,16.6,10.75,12.64,1.175813953,148.1,249.57,8.915,5.971,6.621,1.108859488
150.1,249.778,271.1,204.7,177.8,0.868588178,150.1,249.184,91.25,71.65,56.51,0.788695045,150.1,249.915,47.36,35.56,31.28,0.879640045,150.1,250.017,24.18,18.05,16.08,0.890858726,150.1,249.44,16.65,10.8,12.66,1.172222222,150.1,250.184,8.891,5.958,6.6,1.10775428
152.1,0.619488,364.5,346.1,114.1,0.329673505,152.1,2.70505,136.1,66.22,118.9,1.795530051,,,,,,,152.1,6.23378,43.72,27.41,34.06,1.242612185,152.1,5.7333,40.12,24.71,31.61,1.279239174,152.1,10.1553,15.7,15.09,4.361,0.288999337
154.1,0.359956,390.9,380.9,87.95,0.230900499,154.1,1.45883,148.2,105.5,104.2,0.987677725,154.1,2.16388,62.84,54.14,31.91,0.589397857,,,,,,,,,,,,,,,,,,
,,,,,,156.1,,,,,,156.1,0.272525,34.44,30.79,15.43,0.501136733,,,,,,,,,,,,,,,,,,
,,,,,,158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,160.1,,,,,,,,,,,,160.1,0.239786,42.65,32.78,27.28,0.832214765,160.1,0.147155,36.38,33.08,15.12,0.457073761,160.1,0.175175,21.7,18.99,10.49,0.552395998
