70/3,,,,,,70/6,,,,,,70/9,,,,,,70/12,,,,,,70/18,,,,,,70/24,,,,,
gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G""",gamma*(%),Low-PI G',"Low-PI G""",gamma*(%),High-PI G',"High-PI G"""
50.1226,215.2,60.37,500.923,31.26,39.39,500.025,40.96,46.64,501.462,20.73,16.89,500.013,18.54,28.76,500.322,11.31,10.47,501.239,14.14,23.86,501.817,5.514,8.093,500.617,4.496,12.43,500.963,11.64,7.219,501.449,0.5572,2.293,501.528,6.01,3.531
63.0686,202.9,67.16,630.663,26.35,34.83,630.1,35.62,45.36,631.285,18.68,15.23,627.955,17.02,28.39,631.131,9.579,10.53,630.371,11.51,21.39,631.645,4.761,7.289,631.152,3.779,11.23,630.756,11.02,7.17,631.17,0.439,2.021,631.055,5.543,3.534
79.3567,190.2,73.85,793.849,22.07,30.53,794.297,30.33,42.98,794.707,16.98,13.73,798.934,14.13,26.14,794.481,7.85,10.29,795.641,9.171,18.6,795.588,3.802,7.079,795.839,3.047,10.16,793.856,10.42,7.138,794.487,0.352,1.786,794.628,5.087,3.532
99.8597,177.8,80.49,999.215,18.43,26.89,1001.82,24.01,40.23,999.662,15.65,12.47,1000.23,10.25,21.45,1002.33,6.113,9.743,1002.02,7.423,15.77,999.878,3.401,6.433,998.955,2.633,9.289,999.793,9.826,7.059,1000.16,0.285,1.587,1001.31,4.52,3.429
125.687,164.4,86.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.23,150.6,92.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199.152,137.7,95.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250.676,126.6,96.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.69,117.9,95.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397.62,110.6,91.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499.903,104.9,88.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628.762,100.1,85.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791.665,95.38,84.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997.733,87.31,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
